Index	Name_Teigtasche	Name_Landesprache	Landesindex	Zubereitungsart	Beschaffenheit	Verspeisungsart	Besonderes	Info	Link	Description
1	Bolani	بولانی	1	gebraten 	gefülltes Fladenbrot	Pur_ mit Dipp auf Joghurtbasis	na	Teigtasche aus Afghanistan	https://www.lecker.de/afghanische-bolani-herzhaft-gefuelltes-fladenbrot-84874.html	Bolani ist ein köstliches afghanisches Fladenbrot_ das normalerweise mit Zutaten wie Kartoffeln_ Lauch_ Spinat oder Linsen gefüllt und mit Gewürzen abgeschmeckt wird. Es wird leicht gebraten oder gebacken_ bis es goldbraun und knusprig ist. Bolani wird oft als Snack oder Vorspeise serviert und ist für seinen herzhaften Geschmack und die angenehme Textur beliebt.
2	Afghanische Mantu	منتو	1	dampfgegart 	gefüllte Dumplings	In Eintopf_ Pur mit joghurtdipp	na	Afghanische version des Mantus	https://www.rewe.de/rezepte/afghanische-mantu/	Afghanische Mantu sind gefüllte Teigtaschen_ die mit einer Mischung aus gewürztem Hackfleisch_ Zwiebeln und Koriander gefüllt sind. Sie werden gedämpft und oft mit einer Joghurt-Sauce und einer würzigen Tomatensauce serviert. Mantu ist ein beliebtes Gericht in Afghanistan_ das sowohl als Hauptgericht als auch als Vorspeise genossen wird.
3	Hawawshi	حواوشي	2	gebacken	gefüllte Pita	Pur_ mit Dipp auf Joghurtbasis	verschiedenen Variationen baladi(standart)_ Alexandrian	Gefülltes Brot aus Ägypten	https://www.chefkoch.de/rezepte/3863211588160601/Hawawshi-traditionelle-aegyptische-Teigtaschen.html	Hawawshi ist ein beliebtes ägyptisches Gericht_ das aus gewürztem Hackfleisch besteht_ das in Pita-Brot eingebacken und dann gebacken oder gegrillt wird. Das Fleisch wird oft mit Zwiebeln_ Paprika und einer Mischung aus aromatischen Gewürzen wie Kreuzkümmel und Koriander abgeschmeckt. Hawawshi ist für seinen intensiven Geschmack und die knusprige Textur bekannt_ und wird häufig als Snack oder Hauptgericht serviert.
4	Feteer meshalet	فطير مشلتت	2	gebacken	gefüllter Blätterteig	alles erdenkliche	Sowohl süßs als auch hertzhaft	Ägyptische Blätterteig der mit allem erdenklichen gefüllt wird	https://aegyptischkochen.blogspot.com/2019/02/gefullte-fetir-feteer.html	Feteer meshalet ist ein traditionelles ägyptisches Gebäck_ das aus mehreren Schichten von dünnem Teig besteht_ der mit Butter oder Ghee bestrichen wird. Es kann süß oder herzhaft gefüllt sein_ mit Zutaten wie Honig_ Käse oder Gemüse. Feteer meshalet wird oft warm serviert_ und ist bekannt für seine zarte_ flauschige Textur und den reichen Geschmack_ was es zu einem beliebten Snack oder Dessert in Ägypten macht.
4	Albanischer Burek	Burek	3	gebacken	gefülter Blättertrig	Vegetarisch oder mit Fleisch	Im ganzen Balkan gegessen	Albanische version des Bureks	https://www.tantefanny.at/rezept/albanischer-burek/#:~:text=Burek%20ist%20ein%20Teiggericht%2C%20dasvegetarische%20Burek%20Rezept%20unbedingt%20ausprobieren.	Albanischer Burek ist ein herzhafter Gebäckstrudel_ der aus dünnen Teigblättern besteht und mit verschiedenen Füllungen wie Hackfleisch_ Käse oder Spinat gefüllt wird. Der Teig wird in mehreren Schichten gebacken_ bis er goldbraun und knusprig ist. Burek ist ein beliebtes Gericht in Albanien und anderen Balkanländern_ und wird oft als Snack oder Hauptgericht serviert.
5	Mahdjouba / mhadjeb	محجوبة	4	gebacken	gefülltes Fladenbrot	Pur	na	Traditionelle Algerische Fladentasche	https://bakinghermann.com/mhajeb-algerian-stuffed-flatbreads/	Mahdjouba ist ein traditionelles algerisches Gericht_ das aus dünnem Teig besteht_ der mit einer würzigen Füllung aus Tomaten_ Zwiebeln und Paprika gefüllt wird. Die Teigtaschen werden gefaltet und in einer Pfanne gebraten_ bis sie goldbraun und knusprig sind. Mahdjouba ist ein beliebtes Streetfood in Algerien und wird oft als Snack oder leichtes Mittagessen genossen.
6	Pastissets	Pastissets	5	gebacken	Keksartige Teigtasche	Zu Kaffee oder Tee_ Pur	na	Taditionelle Süßspaeise aus Andorra	https://www.nationalgerichtrezepte.de/nationalgericht-andorra-pastissets-rezept/	Pastissets aus Andorra sind traditionelle_ frittierte Teigtaschen_ die mit einer süßen oder herzhaften Füllung zubereitet werden. Häufig werden sie mit einer Mischung aus Süßkartoffeln_ Kürbis oder Äpfeln gefüllt und mit Zucker bestreut_ was ihnen eine köstliche Süße verleiht. Pastissets sind ein beliebtes Gebäck in Andorra_ besonders während der Feiertage und besonderen Feierlichkeiten.
7	Pastels aus Angola	Pastel	6	fritiert	Fischgefüllte Teigtaschen	Pur_ mit Dipp 	Fischfüllung	Angolische Teigtasche	https://www.creatable.de/rezept/pastels-frittierte-fisch-teigtaschen/	Pastels aus Angola sind knusprige_ frittierte Teigtaschen_ die mit einer würzigen Füllung aus Hackfleisch_ Fisch oder Gemüse gefüllt werden. Sie sind ein beliebter Snack oder Streetfood in Angola und werden oft mit Reis oder Salat serviert. Pastels sind bekannt für ihre knusprige Textur und den herzhaften Geschmack_ der durch die Kombination von Gewürzen und frischen Zutaten verstärkt wird.
8	Crab and Dumplings	Crab and Dumplings	7	gekocht	gefüllter Dumpling	mit Sauce	In der ganzen Karibick verbreitet	Mit Krabbe gefüllte Teigtasche aus der Karibick	https://www.nationalgerichtrezepte.de/nationalgericht-antigua-und-barbuda-crab-and-dumplings-rezept/	Crab and Dumplings ist ein köstliches Gericht_ das aus zarten Teigtaschen besteht_ die mit frischem Krabbenfleisch gefüllt sind. Die Dumplings werden in Brühe gekocht oder gedämpft_ was ihnen eine weiche Textur verleiht. Oft mit Gewürzen und Kräutern abgeschmeckt_ ist dieses Gericht besonders in der südlichen Küche der USA und in der Karibik beliebt und wird für seinen milden Geschmack und die delikate Kombination von Krabben und Teig geschätzt.
9	Samosas aus Äquatorialguinea 	Samosas	8	fritiert	Gefüllte fritierte Teigtasche	Pur_ mit Dipp	Aus indien/ Pakistan stammend in Afrika sehr beliebt	Äquatorialguineanische version der Samosa	https://www.gutekueche.de/sambusak-rezept-18186	Samosas aus Äquatorialguinea sind knusprige Teigtaschen_ die mit einer würzigen Füllung aus Hackfleisch_ Gemüse oder Fisch gefüllt sind. Sie werden tiefgebraten und zeichnen sich durch ihren intensiven Geschmack und ihre knusprige Textur aus. Samosas sind ein beliebter Snack oder Appetizer in Äquatorialguinea und anderen Teilen Westafrikas_ und werden oft mit scharfen Saucen oder Dipps serviert.
